geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD02,2006,Estimate; Quintile Upper Limits: - Lowest Quintile,20264,17.87,9.12,0.05
North Carolina,HD01_VD02,2006,Estimate; Quintile Upper Limits: - Lowest Quintile,18176,256.17,130.7,0.72
"Durham County, NC",HD01_VD02,2006,Estimate; Quintile Upper Limits: - Lowest Quintile,19983,1388.09,708.21,3.54
"Forsyth County, NC",HD01_VD02,2006,Estimate; Quintile Upper Limits: - Lowest Quintile,19486,1809.87,923.4,4.74
"Guilford County, NC",HD01_VD02,2006,Estimate; Quintile Upper Limits: - Lowest Quintile,19145,1491.74,761.09,3.98
United States,HD01_VD03,2006,Estimate; Quintile Upper Limits: - Second Quintile,38200,57.19,29.18,0.08
North Carolina,HD01_VD03,2006,Estimate; Quintile Upper Limits: - Second Quintile,33619,495.66,252.89,0.75
"Durham County, NC",HD01_VD03,2006,Estimate; Quintile Upper Limits: - Second Quintile,37564,2707.06,1381.15,3.68
"Forsyth County, NC",HD01_VD03,2006,Estimate; Quintile Upper Limits: - Second Quintile,36236,1691.91,863.22,2.38
"Guilford County, NC",HD01_VD03,2006,Estimate; Quintile Upper Limits: - Second Quintile,34336,2044.6,1043.16,3.04
United States,HD01_VD04,2006,Estimate; Quintile Upper Limits: - Third Quintile,60224,90.55,46.2,0.08
North Carolina,HD01_VD04,2006,Estimate; Quintile Upper Limits: - Third Quintile,52687,604.09,308.21,0.58
"Durham County, NC",HD01_VD04,2006,Estimate; Quintile Upper Limits: - Third Quintile,57645,3722.21,1899.09,3.29
"Forsyth County, NC",HD01_VD04,2006,Estimate; Quintile Upper Limits: - Third Quintile,54733,1756.26,896.05,1.64
"Guilford County, NC",HD01_VD04,2006,Estimate; Quintile Upper Limits: - Third Quintile,56118,2288.85,1167.78,2.08
United States,HD01_VD05,2006,Estimate; Quintile Upper Limits: - Fourth Quintile,94150,120.34,61.4,0.07
North Carolina,HD01_VD05,2006,Estimate; Quintile Upper Limits: - Fourth Quintile,82457,630.3,321.58,0.39
"Durham County, NC",HD01_VD05,2006,Estimate; Quintile Upper Limits: - Fourth Quintile,92090,8881.36,4531.31,4.92
"Forsyth County, NC",HD01_VD05,2006,Estimate; Quintile Upper Limits: - Fourth Quintile,87915,5884.77,3002.43,3.42
"Guilford County, NC",HD01_VD05,2006,Estimate; Quintile Upper Limits: - Fourth Quintile,87310,4285.79,2186.63,2.5
United States,HD01_VD06,2006,Estimate; Lower Limit of Top 5 Percent,170715,369.36,188.45,0.11
North Carolina,HD01_VD06,2006,Estimate; Lower Limit of Top 5 Percent,147928,3144.34,1604.26,1.08
"Durham County, NC",HD01_VD06,2006,Estimate; Lower Limit of Top 5 Percent,166569,18757.62,9570.21,5.75
"Forsyth County, NC",HD01_VD06,2006,Estimate; Lower Limit of Top 5 Percent,161060,10925.96,5574.47,3.46
"Guilford County, NC",HD01_VD06,2006,Estimate; Lower Limit of Top 5 Percent,153912,9446.13,4819.45,3.13
United States,HD01_VD02,2007,Estimate; Quintile Upper Limits: - Lowest Quintile,21204,67.91,34.65,0.16
North Carolina,HD01_VD02,2007,Estimate; Quintile Upper Limits: - Lowest Quintile,18567,359.83,183.59,0.99
"Durham County, NC",HD01_VD02,2007,Estimate; Quintile Upper Limits: - Lowest Quintile,18714,1828.94,933.13,4.99
"Forsyth County, NC",HD01_VD02,2007,Estimate; Quintile Upper Limits: - Lowest Quintile,19953,2261.45,1153.8,5.78
"Guilford County, NC",HD01_VD02,2007,Estimate; Quintile Upper Limits: - Lowest Quintile,19297,1862.3,950.15,4.92
United States,HD01_VD03,2007,Estimate; Quintile Upper Limits: - Second Quintile,40253,96.51,49.24,0.12
North Carolina,HD01_VD03,2007,Estimate; Quintile Upper Limits: - Second Quintile,35340,331.23,168.99,0.48
"Durham County, NC",HD01_VD03,2007,Estimate; Quintile Upper Limits: - Second Quintile,36728,3435.06,1752.58,4.77
"Forsyth County, NC",HD01_VD03,2007,Estimate; Quintile Upper Limits: - Second Quintile,35742,2329.36,1188.45,3.33
"Guilford County, NC",HD01_VD03,2007,Estimate; Quintile Upper Limits: - Second Quintile,35714,1292.77,659.58,1.85
United States,HD01_VD04,2007,Estimate; Quintile Upper Limits: - Third Quintile,62601,96.51,49.24,0.08
North Carolina,HD01_VD04,2007,Estimate; Quintile Upper Limits: - Third Quintile,55351,636.26,324.62,0.59
"Durham County, NC",HD01_VD04,2007,Estimate; Quintile Upper Limits: - Third Quintile,57045,5286.64,2697.27,4.73
"Forsyth County, NC",HD01_VD04,2007,Estimate; Quintile Upper Limits: - Third Quintile,58108,3083.57,1573.25,2.71
"Guilford County, NC",HD01_VD04,2007,Estimate; Quintile Upper Limits: - Third Quintile,58395,3906.89,1993.31,3.41
United States,HD01_VD05,2007,Estimate; Quintile Upper Limits: - Fourth Quintile,99069,270.47,137.99,0.14
North Carolina,HD01_VD05,2007,Estimate; Quintile Upper Limits: - Fourth Quintile,86786,928.17,473.56,0.55
"Durham County, NC",HD01_VD05,2007,Estimate; Quintile Upper Limits: - Fourth Quintile,93437,5582.13,2848.03,3.05
"Forsyth County, NC",HD01_VD05,2007,Estimate; Quintile Upper Limits: - Fourth Quintile,93945,4205.96,2145.9,2.28
"Guilford County, NC",HD01_VD05,2007,Estimate; Quintile Upper Limits: - Fourth Quintile,92377,2825.02,1441.34,1.56
United States,HD01_VD06,2007,Estimate; Lower Limit of Top 5 Percent,181130,442.04,225.53,0.12
North Carolina,HD01_VD06,2007,Estimate; Lower Limit of Top 5 Percent,160082,2722.55,1389.06,0.87
"Durham County, NC",HD01_VD06,2007,Estimate; Lower Limit of Top 5 Percent,166601,26041.19,13286.32,7.97
"Forsyth County, NC",HD01_VD06,2007,Estimate; Lower Limit of Top 5 Percent,183224,4589.62,2341.64,1.28
"Guilford County, NC",HD01_VD06,2007,Estimate; Lower Limit of Top 5 Percent,177199,11114.21,5670.52,3.2
United States,HD01_VD02,2008,Estimate; Quintile Upper Limits: - Lowest Quintile,21769,94.13,48.03,0.22
North Carolina,HD01_VD02,2008,Estimate; Quintile Upper Limits: - Lowest Quintile,20002,324.09,165.35,0.83
"Durham County, NC",HD01_VD02,2008,Estimate; Quintile Upper Limits: - Lowest Quintile,23987,2621.28,1337.39,5.58
"Forsyth County, NC",HD01_VD02,2008,Estimate; Quintile Upper Limits: - Lowest Quintile,21143,1359.49,693.62,3.28
"Guilford County, NC",HD01_VD02,2008,Estimate; Quintile Upper Limits: - Lowest Quintile,20494,753.02,384.19,1.87
United States,HD01_VD03,2008,Estimate; Quintile Upper Limits: - Second Quintile,41121,58.38,29.79,0.07
North Carolina,HD01_VD03,2008,Estimate; Quintile Upper Limits: - Second Quintile,36856,401.53,204.86,0.56
"Durham County, NC",HD01_VD03,2008,Estimate; Quintile Upper Limits: - Second Quintile,40987,3443.4,1756.84,4.29
"Forsyth County, NC",HD01_VD03,2008,Estimate; Quintile Upper Limits: - Second Quintile,37294,2030.3,1035.87,2.78
"Guilford County, NC",HD01_VD03,2008,Estimate; Quintile Upper Limits: - Second Quintile,38302,1811.06,924.01,2.41
United States,HD01_VD04,2008,Estimate; Quintile Upper Limits: - Third Quintile,64979,71.49,36.47,0.06
North Carolina,HD01_VD04,2008,Estimate; Quintile Upper Limits: - Third Quintile,57451,750.64,382.98,0.67
"Durham County, NC",HD01_VD04,2008,Estimate; Quintile Upper Limits: - Third Quintile,63598,4078.47,2080.85,3.27
"Forsyth County, NC",HD01_VD04,2008,Estimate; Quintile Upper Limits: - Third Quintile,58755,3136,1600,2.72
"Guilford County, NC",HD01_VD04,2008,Estimate; Quintile Upper Limits: - Third Quintile,58597,2564.09,1308.21,2.23
United States,HD01_VD05,2008,Estimate; Quintile Upper Limits: - Fourth Quintile,102106,61.96,31.61,0.03
North Carolina,HD01_VD05,2008,Estimate; Quintile Upper Limits: - Fourth Quintile,90007,751.83,383.59,0.43
"Durham County, NC",HD01_VD05,2008,Estimate; Quintile Upper Limits: - Fourth Quintile,103840,4414.47,2252.28,2.17
"Forsyth County, NC",HD01_VD05,2008,Estimate; Quintile Upper Limits: - Fourth Quintile,93345,4830.3,2464.44,2.64
"Guilford County, NC",HD01_VD05,2008,Estimate; Quintile Upper Limits: - Fourth Quintile,91087,3867.57,1973.25,2.17
United States,HD01_VD06,2008,Estimate; Lower Limit of Top 5 Percent,187285,675.57,344.68,0.18
North Carolina,HD01_VD06,2008,Estimate; Lower Limit of Top 5 Percent,163736,2330.55,1189.06,0.73
"Durham County, NC",HD01_VD06,2008,Estimate; Lower Limit of Top 5 Percent,175930,15154.55,7731.91,4.39
"Forsyth County, NC",HD01_VD06,2008,Estimate; Lower Limit of Top 5 Percent,167182,17006.13,8676.6,5.19
"Guilford County, NC",HD01_VD06,2008,Estimate; Lower Limit of Top 5 Percent,172055,11987.57,6116.11,3.55
United States,HD01_VD02,2009,Estimate; Quintile Upper Limits: - Lowest Quintile,20826,89.36,45.59,0.22
North Carolina,HD01_VD02,2009,Estimate; Quintile Upper Limits: - Lowest Quintile,18433,413.45,210.94,1.14
"Durham County, NC",HD01_VD02,2009,Estimate; Quintile Upper Limits: - Lowest Quintile,19924,1165.28,594.53,2.98
"Forsyth County, NC",HD01_VD02,2009,Estimate; Quintile Upper Limits: - Lowest Quintile,19071,994.89,507.6,2.66
"Guilford County, NC",HD01_VD02,2009,Estimate; Quintile Upper Limits: - Lowest Quintile,18835,2254.3,1150.15,6.11
United States,HD01_VD03,2009,Estimate; Quintile Upper Limits: - Second Quintile,39856,1.19,0.61,0
North Carolina,HD01_VD03,2009,Estimate; Quintile Upper Limits: - Second Quintile,34548,531.4,271.12,0.78
"Durham County, NC",HD01_VD03,2009,Estimate; Quintile Upper Limits: - Second Quintile,38047,2914.38,1486.93,3.91
"Forsyth County, NC",HD01_VD03,2009,Estimate; Quintile Upper Limits: - Second Quintile,35863,2436.6,1243.16,3.47
"Guilford County, NC",HD01_VD03,2009,Estimate; Quintile Upper Limits: - Second Quintile,34867,1801.53,919.15,2.64
United States,HD01_VD04,2009,Estimate; Quintile Upper Limits: - Third Quintile,62629,189.45,96.66,0.15
North Carolina,HD01_VD04,2009,Estimate; Quintile Upper Limits: - Third Quintile,54803,352.68,179.94,0.33
"Durham County, NC",HD01_VD04,2009,Estimate; Quintile Upper Limits: - Third Quintile,60251,2919.15,1489.36,2.47
"Forsyth County, NC",HD01_VD04,2009,Estimate; Quintile Upper Limits: - Third Quintile,54803,2510.47,1280.85,2.34
"Guilford County, NC",HD01_VD04,2009,Estimate; Quintile Upper Limits: - Third Quintile,55968,2921.53,1490.58,2.66
United States,HD01_VD05,2009,Estimate; Quintile Upper Limits: - Fourth Quintile,99715,84.6,43.16,0.04
North Carolina,HD01_VD05,2009,Estimate; Quintile Upper Limits: - Fourth Quintile,87251,878.13,448.03,0.51
"Durham County, NC",HD01_VD05,2009,Estimate; Quintile Upper Limits: - Fourth Quintile,99945,3613.79,1843.77,1.84
"Forsyth County, NC",HD01_VD05,2009,Estimate; Quintile Upper Limits: - Fourth Quintile,87500,4316.77,2202.43,2.52
"Guilford County, NC",HD01_VD05,2009,Estimate; Quintile Upper Limits: - Fourth Quintile,93216,3984.34,2032.83,2.18
United States,HD01_VD06,2009,Estimate; Lower Limit of Top 5 Percent,181481,545.7,278.42,0.15
North Carolina,HD01_VD06,2009,Estimate; Lower Limit of Top 5 Percent,155539,2198.3,1121.58,0.72
"Durham County, NC",HD01_VD06,2009,Estimate; Lower Limit of Top 5 Percent,166918,25347.74,12932.52,7.75
"Forsyth County, NC",HD01_VD06,2009,Estimate; Lower Limit of Top 5 Percent,155390,10094.3,5150.15,3.31
"Guilford County, NC",HD01_VD06,2009,Estimate; Lower Limit of Top 5 Percent,166841,11923.23,6083.28,3.65
United States,HD01_VD02,2010,Estimate; Quintile Upper Limits: - Lowest Quintile,20699,50.04,25.53,0.12
North Carolina,HD01_VD02,2010,Estimate; Quintile Upper Limits: - Lowest Quintile,18251,365.79,186.63,1.02
"Durham County, NC",HD01_VD02,2010,Estimate; Quintile Upper Limits: - Lowest Quintile,20559,2275.74,1161.09,5.65
"Forsyth County, NC",HD01_VD02,2010,Estimate; Quintile Upper Limits: - Lowest Quintile,19204,1898.04,968.39,5.04
"Guilford County, NC",HD01_VD02,2010,Estimate; Quintile Upper Limits: - Lowest Quintile,18825,1332.09,679.64,3.61
United States,HD01_VD03,2010,Estimate; Quintile Upper Limits: - Second Quintile,39211,82.21,41.94,0.11
North Carolina,HD01_VD03,2010,Estimate; Quintile Upper Limits: - Second Quintile,34388,399.15,203.65,0.59
"Durham County, NC",HD01_VD03,2010,Estimate; Quintile Upper Limits: - Second Quintile,39132,2757.11,1406.69,3.59
"Forsyth County, NC",HD01_VD03,2010,Estimate; Quintile Upper Limits: - Second Quintile,35148,1986.21,1013.37,2.88
"Guilford County, NC",HD01_VD03,2010,Estimate; Quintile Upper Limits: - Second Quintile,32359,1992.17,1016.41,3.14
United States,HD01_VD04,2010,Estimate; Quintile Upper Limits: - Third Quintile,62150,88.17,44.98,0.07
North Carolina,HD01_VD04,2010,Estimate; Quintile Upper Limits: - Third Quintile,54000,540.94,275.99,0.51
"Durham County, NC",HD01_VD04,2010,Estimate; Quintile Upper Limits: - Third Quintile,60233,4444.26,2267.48,3.76
"Forsyth County, NC",HD01_VD04,2010,Estimate; Quintile Upper Limits: - Third Quintile,55877,2193.53,1119.15,2
"Guilford County, NC",HD01_VD04,2010,Estimate; Quintile Upper Limits: - Third Quintile,52800,2621.28,1337.39,2.53
United States,HD01_VD05,2010,Estimate; Quintile Upper Limits: - Fourth Quintile,99891,188.26,96.05,0.1
North Carolina,HD01_VD05,2010,Estimate; Quintile Upper Limits: - Fourth Quintile,85303,748.26,381.77,0.45
"Durham County, NC",HD01_VD05,2010,Estimate; Quintile Upper Limits: - Fourth Quintile,94238,4657.53,2376.29,2.52
"Forsyth County, NC",HD01_VD05,2010,Estimate; Quintile Upper Limits: - Fourth Quintile,84640,2510.47,1280.85,1.51
"Guilford County, NC",HD01_VD05,2010,Estimate; Quintile Upper Limits: - Fourth Quintile,85064,5781.11,2949.55,3.47
United States,HD01_VD06,2010,Estimate; Lower Limit of Top 5 Percent,181314,425.36,217.02,0.12
North Carolina,HD01_VD06,2010,Estimate; Lower Limit of Top 5 Percent,155178,2554.55,1303.34,0.84
"Durham County, NC",HD01_VD06,2010,Estimate; Lower Limit of Top 5 Percent,160870,10741.28,5480.24,3.41
"Forsyth County, NC",HD01_VD06,2010,Estimate; Lower Limit of Top 5 Percent,167783,12392.68,6322.8,3.77
"Guilford County, NC",HD01_VD06,2010,Estimate; Lower Limit of Top 5 Percent,161579,11882.72,6062.61,3.75
United States,HD01_VD02,2011,Estimate; Quintile Upper Limits: - Lowest Quintile,20585,57.19,29.18,0.14
North Carolina,HD01_VD02,2011,Estimate; Quintile Upper Limits: - Lowest Quintile,18332,365.79,186.63,1.02
"Durham County, NC",HD01_VD02,2011,Estimate; Quintile Upper Limits: - Lowest Quintile,19658,2160.17,1102.13,5.61
"Forsyth County, NC",HD01_VD02,2011,Estimate; Quintile Upper Limits: - Lowest Quintile,18851,1060.43,541.04,2.87
"Guilford County, NC",HD01_VD02,2011,Estimate; Quintile Upper Limits: - Lowest Quintile,17190,1359.49,693.62,4.04
United States,HD01_VD03,2011,Estimate; Quintile Upper Limits: - Second Quintile,39466,106.04,54.1,0.14
North Carolina,HD01_VD03,2011,Estimate; Quintile Upper Limits: - Second Quintile,34435,508.77,259.58,0.75
"Durham County, NC",HD01_VD03,2011,Estimate; Quintile Upper Limits: - Second Quintile,35770,4730.21,2413.37,6.75
"Forsyth County, NC",HD01_VD03,2011,Estimate; Quintile Upper Limits: - Second Quintile,33969,1831.32,934.35,2.75
"Guilford County, NC",HD01_VD03,2011,Estimate; Quintile Upper Limits: - Second Quintile,33393,1696.68,865.65,2.59
United States,HD01_VD04,2011,Estimate; Quintile Upper Limits: - Third Quintile,63001,141.79,72.34,0.11
North Carolina,HD01_VD04,2011,Estimate; Quintile Upper Limits: - Third Quintile,55062,682.72,348.33,0.63
"Durham County, NC",HD01_VD04,2011,Estimate; Quintile Upper Limits: - Third Quintile,56664,3311.15,1689.36,2.98
"Forsyth County, NC",HD01_VD04,2011,Estimate; Quintile Upper Limits: - Third Quintile,54378,3175.32,1620.06,2.98
"Guilford County, NC",HD01_VD04,2011,Estimate; Quintile Upper Limits: - Third Quintile,55795,2266.21,1156.23,2.07
United States,HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,101685,128.68,65.65,0.06
North Carolina,HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,89167,1299.91,663.22,0.74
"Durham County, NC",HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,95578,7148.94,3647.42,3.82
"Forsyth County, NC",HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,91179,4648,2371.43,2.6
"Guilford County, NC",HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,90847,4254.81,2170.82,2.39
United States,HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,187087,519.49,265.05,0.14
North Carolina,HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,161906,2723.74,1389.66,0.86
"Durham County, NC",HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,173579,21190.64,10811.55,6.23
"Forsyth County, NC",HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,174360,7629.11,3892.4,2.23
